N°	COULEUR	JOURNALISTES	ARTICLE	STATUT	NB CARAC	LAST DAY:FIRST DAY		CODE COULEUR	NOMBRE	POLITIQUES	DONT FAKE	JOURNALISTES	PERSO							HIPSTER 1:5	HIPSTER 5:10	HIPSTER 10:15	EVENEMENTIEL 1:5	EVENEMENTIEL 5:10	EVENEMENTIEL 10:15	NOSTALGIE 1:5	NOSTALGIE 5:10	NOSTALGIE 10:15	ALARMISTE 1:5	ALARMISTE  5:10	ALARMISTE  10:15				HIPSTER 1:5	HIPSTER 5:10	HIPSTER 10:15	EVENEMENTIEL 1:5	EVENEMENTIEL 5:10	EVENEMENTIEL 10:15	NOSTALGIE 1:5	NOSTALGIE 5:10	NOSTALGIE 10:15	ALARMISTE 1:5	ALARMISTE  5:10	ALARMISTE  10:15
ref_113	ALARMISTE	Jess Carlin	Bubble news a la tête sous l'eau !	TRUE	34	1:5														0	0	0	0	0	0	0	0	0	1	0	0				0	0	0	0	0	0	0	0	0	0	0	0
ref_114	ALARMISTE	Suzi Grieffe	Bill Ruffalo promet de se retirer de l'accord du puit !	TRUE	55	1:5														0	0	0	0	0	0	0	0	0	1	0	0				0	0	0	0	0	0	0	0	0	0	0	0
ref_115	HIPSTER	Rita Tutsuko	Miss Croco reçoit le prix de la meilleure scène dramatique. Du vrai cinéma d'auteur indépendant.	FAKE	96	10:15														0	0	1	0	0	0	0	0	0	0	0	0				0	0	1	0	0	0	0	0	0	0	0	0
ref_116	EVENEMENTIEL	Rita Tutsuko	Mlle Beau Regard se confie :J'ai mon "Animal List" !	TRUE	52	1:5														0	0	0	1	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0
ref_117	EVENEMENTIEL	Jess Carlin	Ruffalo nous dit tout de A à Z !	TRUE	32	1:5														0	0	0	1	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0
ref_118	NOSTALGIE	Nathalie Colonie	Z veut diminuer la retraite des lions ! Beauregard dénonce !	FAKE	60	5:10														0	0	0	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0
ref_119	EVENEMENTIEL	Céline Delindon	Fabiouss rend régulièrement visite à sa maîtresse et monopolise une escorte de 2 policiers !	FAKE	92	10:15														0	0	0	0	0	1	0	0	0	0	0	0				0	0	0	0	0	1	0	0	0	0	0	0
ref_120	ALARMISTE	Pierre Bernard	Ruffalo a encore un accès de colère lorsqu'on l'interroge sur le carnisme. Indigne !	FAKE	84	10:15														0	0	0	0	0	0	0	0	0	0	0	1				0	0	0	0	0	0	0	0	0	0	0	1
ref_121	ALARMISTE	Derrick Zammour	Les chiffres le prouvent, les statistiques sur lesquelles je compte, c'est pas des maths.	FAKE	89	10:15														0	0	0	0	0	0	0	0	0	0	0	1				0	0	0	0	0	0	0	0	0	0	0	1
ref_122	NOSTALGIE	Grace Gralin	L'esprit grégaire se perd affirme Lontarin !	TRUE	44	5:10														0	0	0	0	0	0	0	1	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0
ref_123	NOSTALGIE	Larry Delamaison	Aidez moi ! Mes petits enfants préfèrent rester dans leur caverne que de venir me voir !	TRUE	88	5:10														0	0	0	0	0	0	0	1	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0
ref_124	NOSTALGIE	David Puget	"C'était le bon temps", le disque qui bat tous les records !	TRUE	60	10:15														0	0	0	0	0	0	0	1	0	0	0	0				0	0	0	0	0	0	0	1	0	0	0	0
ref_125	EVENEMENTIEL	Rita Tutsuko	Toutes les photos du tapis rouge, qui remportera le palmier d'or ?	TRUE	66	10:15														0	0	0	0	0	1	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0
ref_126	NOSTALGIE	Paul Dorade	10 jeux d'enfant qui ont disparu	TRUE	32	10:15														0	0	0	0	0	0	0	0	1	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0
